Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2017,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.071
2018,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.068
2019,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.081
2020,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.157
2021,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.141
2022,Business R&D expenditure,SVK,Slovak Republic,Information industries (ISIC 26+58-63),Share of GDP,0.15
2005,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.146
2006,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.15
2007,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.145
2008,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.163
2009,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.171
2010,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.18
2011,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.221
2012,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.23
2013,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.202
2014,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.236
2015,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.235
2016,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.174
2017,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.18
2018,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.148
2019,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.172
2020,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.194
2021,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.195
2022,Business R&D expenditure,SVN,Slovenia,Information industries (ISIC 26+58-63),Share of GDP,0.189
2005,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.082
2006,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.11
2007,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.116
2008,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.115
2009,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.109
2010,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.104
2011,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.102
2012,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.099
2013,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.1
2014,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.099
2015,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.088
2016,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.09
2017,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.086
2018,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.098
2019,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.097
2020,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.119
2021,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.135
2022,Business R&D expenditure,ESP,Spain,Information industries (ISIC 26+58-63),Share of GDP,0.139
2005,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.339
2006,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.348
2007,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.352
2008,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.354
2009,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.369
2010,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.361
2011,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.361
2012,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.374
2013,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.397
2014,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.415
2015,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.414
2016,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.376
2017,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.345
2018,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.345
2019,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.377
2020,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.426
2021,Business R&D expenditure,CHE,Switzerland,Information industries (ISIC 26+58-63),Share of GDP,0.431
2005,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.065
2006,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.072
2007,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.086
2008,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.098
2009,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.111
2010,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.105
2011,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.092
2012,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.106
2013,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.113
2014,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.125
2015,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.195
2016,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.249
2017,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.258
2018,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.29
2019,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.304
2020,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.33
2021,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.384
2022,Business R&D expenditure,TUR,Türkiye,Information industries (ISIC 26+58-63),Share of GDP,0.343
2005,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.668
2006,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.713
2007,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.705
2008,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.747
2009,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.71
2010,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.716
2011,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.755
2012,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.758
2013,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.792
2014,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.844
2015,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.855
2016,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.887
2017,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.901
2018,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,0.962
2019,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,1.025
2020,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,1.173
2021,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,1.194
2022,Business R&D expenditure,USA,United States,Information industries (ISIC 26+58-63),Share of GDP,1.215
2012,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.009
2013,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.012
2014,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.007
2015,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.009
2016,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.008
2017,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.007
2018,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.008
2019,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.01
2020,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.012
2021,Business R&D expenditure,CHL,Chile,Information industries (ISIC 26+58-63),Share of GDP,0.017
2009,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.209
2010,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.181
2011,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.199
2012,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.197
2013,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.204
2014,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.21
2015,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.199
2016,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.226
2017,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.226
2018,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.232
2019,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.235
2022,Business R&D expenditure,GBR,United Kingdom,Information industries (ISIC 26+58-63),Share of GDP,0.434
2008,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.025
2009,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.03
2010,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.031
2011,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.016
2012,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.015
2013,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.031
2014,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.03
2015,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.032
2016,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.025
2017,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.037
2018,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.046
2019,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.045
2020,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.107
2021,Business R&D expenditure,LVA,Latvia,Information industries (ISIC 26+58-63),Share of GDP,0.117
2005,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.011
2006,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.007
2007,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.007
2008,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.005
2009,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.008
2010,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.024
2011,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.022
2012,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.021
2013,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.012
2014,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.012
2015,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.011
2016,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.008
2017,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.007
2018,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.006
2019,Business R&D expenditure,MEX,Mexico,Information industries (ISIC 26+58-63),Share of GDP,0.006
2008,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.115
2009,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.12
2010,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.178
2011,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.211
2012,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.211
2013,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.3
2014,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.297
2015,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.296
2016,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.303
2017,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.303
2018,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.299
2019,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.308
2020,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.316
2021,Business R&D expenditure,NLD,Netherlands,Information industries (ISIC 26+58-63),Share of GDP,0.307
2008,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.181
2009,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.235
2010,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.202
2011,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.218
2012,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.221
2013,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.236
2014,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.243
2015,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.26
2016,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.268
2017,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.266
2018,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.272
2019,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.27
2020,Business R&D expenditure,CHN,China (People’s Republic of),Information industries (ISIC 26+58-63),Share of GDP,0.316
2009,Business R&D expenditure,LUX,Luxembourg,Information industries (ISIC 26+58-63),Share of GDP,0.057
2011,Business R&D expenditure,LUX,Luxembourg,Information industries (ISIC 26+58-63),Share of GDP,0.043
2009,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.466
2010,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.462
2011,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.434
2012,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.387
2013,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.341
2014,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.33
2015,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.357
2016,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.403
2017,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.302
2018,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.321
2019,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.331
2020,Business R&D expenditure,DNK,Denmark,Information industries (ISIC 26+58-63),Share of GDP,0.273
2008,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.018
2009,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.028
2010,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.068
2011,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.099
2012,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.051
2013,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.058
2014,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.071
2015,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.056
2016,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.045
2017,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.096
2018,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.087
2019,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.098
2020,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.148
2021,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.178
2022,Business R&D expenditure,LTU,Lithuania,Information industries (ISIC 26+58-63),Share of GDP,0.176
2013,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.189
2014,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.217
2015,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.337
2016,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.337
2017,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.34
2018,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.364
2019,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.434
2020,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.491
2021,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.744
2022,Business R&D expenditure,ISL,Iceland,Information industries (ISIC 26+58-63),Share of GDP,0.799
2007,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.658
2008,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.732
2009,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.697
2010,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.614
2011,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.604
2012,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.582
2013,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.58
2014,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.554
2015,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.612
2016,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.549
2017,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.526
2018,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.58
2019,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.654
2020,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.697
2021,Business R&D expenditure,SWE,Sweden,Information industries (ISIC 26+58-63),Share of GDP,0.696
2009,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.379
2010,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.377
2011,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.418
2012,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.449
2013,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.462
2014,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.441
2015,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.347
2016,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.329
2017,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.336
2018,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.342
2019,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.398
2020,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.374
2021,Business R&D expenditure,IRL,Ireland,Information industries (ISIC 26+58-63),Share of GDP,0.347
2011,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.046
2012,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.046
2013,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.049
2014,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.047
2015,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.051
2016,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.067
2017,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.094
2018,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.106
2019,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.112
2020,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.129
2021,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.135
2022,Business R&D expenditure,GRC,Greece,Information industries (ISIC 26+58-63),Share of GDP,0.168
2005,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.016
2006,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.115
2007,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.073
2008,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.16
2009,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.172
2010,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.308
2011,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.407
2012,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.569
2013,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.655
2014,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.749
2015,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.594
2016,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.619
2017,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.794
2018,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.925
2019,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.948
2020,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.951
2021,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,1.987
2022,Business R&D expenditure,KOR,Korea,Information industries (ISIC 26+58-63),Share of GDP,2.113
2007,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.272
2008,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.262
2009,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.289
2010,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.286
2011,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.289
2012,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.307
2013,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.325
2014,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.33
2015,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.324
2016,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.328
2017,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.342
2018,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.339
2019,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.34
2020,Business R&D expenditure,FRA,France,Information industries (ISIC 26+58-63),Share of GDP,0.358
