Year,Indicator,ISO,Country,Industry,Unit of measure,Value
2014,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,1.049
2015,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,1.014
2016,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,1.002
2017,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,0.99
2018,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,1.068
2019,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,1.102
2020,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,1.131
2021,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,1.173
2022,Business R&D expenditure,FIN,Finland,Non-information industries,Share of GDP,1.161
2005,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,46.658
2006,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,47.233
2007,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,47.603
2008,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,38.189
2009,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,37.9
2010,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,38.225
2011,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,41.372
2012,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,49.459
2013,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,49.455
2014,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,48.981
2015,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,52.657
2016,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,55.407
2017,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,55.234
2018,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,58.568
2019,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,59.632
2020,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,57.552
2021,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,56.634
2022,Business R&D expenditure,FIN,Finland,Non-information industries,Share of total business enterprise expenditure on R&D,57.265
2005,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.354
2006,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.376
2007,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.413
2008,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.626
2009,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.667
2010,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.58
2011,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.554
2012,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.343
2013,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.262
2014,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.142
2015,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,1.926
2016,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,1.809
2017,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,1.793
2018,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,1.823
2019,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,1.848
2020,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,1.965
2021,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.071
2022,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.028
2023,Business R&D expenditure,FIN,Finland,Total economy,Share of GDP,2.091
2005,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2006,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2007,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2008,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2009,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2010,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2011,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2012,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2013,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2014,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2015,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2016,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2017,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2018,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2019,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2020,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2021,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2022,Business R&D expenditure,FIN,Finland,Total economy,Share of total business enterprise expenditure on R&D,100
2005,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.022
2006,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.021
2007,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.025
2008,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.025
2009,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.032
2010,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.031
2011,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.03
2012,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.03
2013,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.03
2014,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.028
2015,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.028
2016,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.026
2017,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.027
2018,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.026
2019,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.028
2020,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.029
2021,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of GDP,0.028
2005,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.326
2006,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.246
2007,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.445
2008,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.406
2009,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.782
2010,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.748
2011,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.6
2012,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.57
2013,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.596
2014,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.472
2015,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.41
2016,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.333
2017,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.296
2018,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.236
2019,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.304
2020,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.409
2021,Business R&D expenditure,DEU,Germany,Low digital-intensive industries,Share of total business enterprise expenditure on R&D,1.349
2005,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.393
2006,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.408
2007,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.38
2008,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.385
2009,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.428
2010,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.398
2011,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.396
2012,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.4
2013,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.385
2014,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.38
2015,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.376
2016,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.388
2017,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.384
2018,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.396
2019,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.407
2020,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.404
2021,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of GDP,0.399
2005,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,23.255
2006,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,23.649
2007,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,22.066
2008,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,21.274
2009,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,23.106
2010,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,21.774
2011,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,21.281
2012,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,20.808
2013,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,20.586
2014,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.906
2015,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.014
2016,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.735
2017,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,18.61
2018,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,18.86
2019,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,18.974
2020,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.621
2021,Business R&D expenditure,DEU,Germany,Low and medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.351
2005,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.37
2006,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.386
2007,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.355
2008,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.359
2009,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.395
2010,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.366
2011,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.366
2012,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.37
2013,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.355
2014,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.352
2015,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.348
2016,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.362
2017,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.358
2018,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.37
2019,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.379
2020,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.375
2021,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of GDP,0.371
2005,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,21.929
2006,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,22.403
2007,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,20.621
2008,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.868
2009,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,21.324
2010,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,20.026
2011,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.681
2012,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,19.238
2013,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,18.99
2014,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,18.433
2015,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,17.604
2016,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,18.402
2017,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,17.314
2018,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,17.624
2019,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,17.671
2020,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,18.212
2021,Business R&D expenditure,DEU,Germany,Medium-low digital-intensive industries,Share of total business enterprise expenditure on R&D,18.002
2005,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.202
2006,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.223
2007,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.339
2008,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.424
2009,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.423
2010,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.431
2011,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.463
2012,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.521
2013,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.484
2014,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.529
2015,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.6
2016,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.578
2017,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.681
2018,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.705
2019,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.738
2020,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.655
2021,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of GDP,1.662
2005,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,71.182
2006,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,70.869
2007,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,77.791
2008,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,78.725
2009,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,76.856
2010,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,78.191
2011,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,78.719
2012,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,79.19
2013,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,79.414
2014,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,80.076
2015,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,80.982
2016,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,80.265
2017,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,81.389
2018,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,81.139
2019,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,81.025
2020,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,80.379
2021,Business R&D expenditure,DEU,Germany,High and medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,80.649
2005,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.512
2006,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.526
2007,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.527
2008,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.546
2009,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.536
2010,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.524
2011,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.537
2012,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.57
2013,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.581
2014,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.576
2015,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.573
2016,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.558
2017,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.58
2018,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.582
2019,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.594
2020,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.593
2021,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of GDP,0.585
2005,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,30.315
2006,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,30.501
2007,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,30.582
2008,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,30.204
2009,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,28.943
2010,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,28.661
2011,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,28.916
2012,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,29.67
2013,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,31.091
2014,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,30.19
2015,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,29.033
2016,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,28.409
2017,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,28.075
2018,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,27.689
2019,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,27.682
2020,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,28.781
2021,Business R&D expenditure,DEU,Germany,Medium-high digital-intensive industries,Share of total business enterprise expenditure on R&D,28.365
2005,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.69
2006,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.696
2007,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.813
2008,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.878
2009,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.887
2010,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.906
2011,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.926
2012,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.951
2013,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.903
2014,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,0.952
2015,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,1.026
2016,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,1.019
2017,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,1.101
2018,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,1.123
2019,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,1.144
2020,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,1.062
2021,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of GDP,1.077
2005,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,40.867
2006,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,40.368
2007,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,47.209
2008,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,48.521
2009,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,47.913
2010,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,49.531
2011,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,49.803
2012,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,49.52
2013,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,48.322
2014,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,49.887
2015,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,51.949
2016,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,51.856
2017,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,53.314
2018,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,53.45
2019,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,53.343
2020,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,51.598
2021,Business R&D expenditure,DEU,Germany,High digital-intensive industries,Share of total business enterprise expenditure on R&D,52.284
2007,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.008
2008,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.007
2009,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.023
2010,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.023
2011,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.021
2012,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.022
2013,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.013
2014,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.013
2015,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.006
2016,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.004
2017,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.004
2018,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.004
2019,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.005
2020,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.005
2021,Business R&D expenditure,DEU,Germany,Telecommunications,Share of GDP,0.005
2007,Business R&D expenditure,DEU,Germany,Telecommunications,Share of total business enterprise expenditure on R&D,0.445
2008,Business R&D expenditure,DEU,Germany,Telecommunications,Share of total business enterprise expenditure on R&D,0.416
2009,Business R&D expenditure,DEU,Germany,Telecommunications,Share of total business enterprise expenditure on R&D,1.258
2010,Business R&D expenditure,DEU,Germany,Telecommunications,Share of total business enterprise expenditure on R&D,1.284
